No,title,abstrak,truelabel,, 
1,APLIKASI CHATBOT BERBASIS WEB MENGGUNAKAN METODE DIALOGFLOW,"Chatbot adalah sebuah program komputer yang dirancang untuk menstimulasikan sebuah percakapan atau komunikasi yang interaktif kepada pengguna (manusia) baik melalui text, suara ataupun visual. Chatbot telah banyak dimanfaatkan untuk tujuan praktis seperti bantuan online, layanan personal, atau akuisisi informasi. Seiring perkembangan yang pesat diperlukan respon yang cepat tidak terkecuali dalam kerja HelpDesk Kantor Pajak Pratama Binjai. Pada penelitian ini teknologi chatbot dirancang dengan menggunakan dialogflow yang terdiri dari agent, intent dan training phrase. Hasil uji coba melalui messenger menunjukkan sistem chatbot yang telah dirancang dapat bekerja dengan baik dan memberikan respon sesuai dengan kata kunci atau masukan yang terdapat pada training prhase dan respon yang sesuai.",0,,
2,Pelabelan Data Dengan Latent Dirichlet Allocation dan K-Means Clustering pada Data Twitter Menggunakan Bahasa Indonesi,"Media sosial telah cukup lama menjadi sumber utama untuk melakukan sentimen analisis terhadap suatu trend. Hal ini juga terjadi pada media sosial Twitter yang telah ada lebih dari satu dekade. Data yang bervolume besar pada twitter sangat bermanfaat untuk mencari sentimen. Akan tetapi data pada twitter umumnya merupakan data yang tidak berkategori. Data yang tidak berkategori tersebut dapat diberikan label menggunakan metode unsupervised learning, akan tetapi metode ini memberikan akurasi yang buruk. Untuk memperoleh akurasi yang baik dari metode unsupervised learning, perlu digunakan teknik Deep Learning seperti Generative Adversarial Networks (GAN), namun teknik ini membutuhkan komputasi yang sangat tinggi. Paper ini memberikan solusi pelabelan data dengan teknik mudah dankomputasi yang ringan menggunakan data dari twitter pada bahasa Indonesia. Teknik yang digunakan pada paper ini adalah k-means clustering dan Latent Dirichlet Allocation (LDA). Hasil dari percobaan ini menunjukan bahwa dari 3 klaster label data yang digunakan memiliki sebaran data yang tidak seimbang, di mana klaster 1 berisi 200 data, klaster 2 berisi 50 data, dan klaster 3 berisi 1200 data. Dari model LDA yang dibangun, diperoleh log likelihood sebesar - 24842.65 dan perplexity sebesar 1859.5279290335732.",0,,
3,Penerapan Computer Vision Untuk Pendeteksian Dan Penghitung Jumlah Manusia,"Pembatasan kapasitas pengunjung pada suatu tempat sangat diperlukan pada situasi dan kondisi saat ini. Hal ini dikarenakan untuk mencegah adanya kerumunan orang disuatu tempat, karena diketahui bersama sesuai protokol kesehatan dari pemerintah tiap orang harus melakukan pembatasan sosial. Untuk itu perlu diketahui jumlah orang yang masuk dan keluar dari suatu bangunan, sehingga dapat diketahui apakah kapasitas pengunjung telah mencapai jumlah maksimal atau belum. Pekerjaan untuk menghitung jumlah pengunjung pada suatu tempat masihlah mudah dilakukan jika dalam skala kecil, namun bagaimana jadinya jika berada pada skala yang besar. Dengan memanfaatkan teknologi pada bidang computer vision yaitu deep learning, penelitian ini bertujuan untuk mendeteksi dan menghitung jumlah manusia secara otomatis. Pada penenlitian ini menggunakan algoritma dari deep learning yaitu MobileNet-SSD dan Centroid Tracking untuk melakukan deteksi dan penghitungan objek. Berdasarkan hasil pengujian dan evaluasi yang telah dilakukan pada kelima video uji coba, sistem yang dibangun berhasil menghasilkan suatu data yang berisi jumlah manusia yang terdeteksi dengan tingkat akurasi tertinggi pada pendeteksian dan penghitungan objek manusia sebesar 93,75%.",0,,
4,Klasifikasi Citra Game Batu Kertas Gunting Menggunakan Convolutional Neural Network,"Permainan batu, gunting, dan kertas sangat populer di seluruh dunia. Permainan ini biasanya dimainkan saat sedang berkumpul untuk mengundi ataupun hanya bermain untuk mengetahui yang menang dan yang kalah. Namun, perkembangan zaman dan teknologi mengakibatkan orang dapat berkumpul secara virtual. Untuk bisa melakukan permainan ini secara virtual, penelitian ini membuat model klasifikasi citra untuk membedakan objek tangan yang menunjuk batu, kertas, dan gunting. Performa metode klasifikasi merupakan hal yang harus diperhatikan dalam kasus ini. Salah satu metode klasifikasi citra yang populer adalah Convolutional Neural Network (CNN). CNN adalah salah satu jenis neural network yang biasa digunakan pada data klasifikasi citra. CNN terinspirasi dari jaringan syaraf manusia. Algoritma ini memiliki 3 tahapan yang dipakai, yaitu convolutional layer, pooling layer, dan fully connected layer. Uji coba 5-Fold cross validation klasifikasi objek tangan yang menunjuk citra batu, kertas, dan gunting menggunakan CNN pada penelitian ini menghasilkan rata-rata akurasi sebesar 97.66%.",0,,
5,ANALISIS USAHA TERNAK AYAM BROILER DI PETERNAKAN AYAM SELAMA SATU KALI MASA PRODUKSI,"Penelitian ini bertujuan untuk mengetahui besarnya pendapatan usaha ternak analisis ayam pedaging untuk satu kali periode atau masa produksi. Jenis data yang digunakan dalam penelitian ini adalah data kuantitatif yaitu data yang berupa angka – angka, yang terkait dengan aspek penerimaan (penjualan hasil produksi) maupun pengeluaran biaya – biaya selama proses produksi, baik biaya tetap seperti biaya penyusutan kandang dan peralatan, biaya pajak PBB dan lain - lain dan biaya tidak tetap (biaya vareabel) seperti biaya sarana produksi (bibit ayam, pakan dan obat – obatan), biaya tenaga kerja, listrik, biaya bahan litter dan lain – lain. Komponen penerimaan dan biaya pengeluaran ini akan digunakan untuk menghitung pendapatan atau keuntungan dalam usaha ternak ayam pedaging. Data yang diperoleh selanjutnya dianalisa secara deskriptif untuk menggambarkan keadaan usaha dan karakteristik peternak, komposisi biaya produksi, penerimaan dan pendapatan usaha peternakan ayam pedaging. Dari hasil penelitian dapat disimpulkan bahwa usaha peternakan ayam pedaging milik Bapak Jhon Pekey dengan skala usaha 300 ekor memberikan keuntungan atau pendapatan yang cukup besar yaitu 3.648.515,- (tiga juta enam ratus empat puluh delapan ribu lima ratus lima belas rupiah) per periode produksi selama 1½ bulan. Tingkat pendapatan ini jauh lebih besar dibandingkan suku bunga simpanan bank sekitar 0,75 % per 1½ bulan (suku bunga simpanan bank sekitar 6 % per tahun).",3,,2
6,RANCANG BANGUN ALAT PEMBERI PAKAN KUCING OTOMATIS MENGGUNAKAN MIKROKONTROLER NODEMCU BERBASIS INTERNET OF THINGS (IOT),"Pengimplementasian dan pemanfaatan Internet of Things pada dunia elektronika sudah sangat banyak dan sampai sekarang pun masih terus berkembang. Fungsi dari IoT sendiri adalah untuk mempermudah pekerjaan manusia, me-monitoring berbagai peralatan dari jarak jauh dan peningkatan efektifitas alat. Pada penelitian ini, dibuat suatu alat yang digunakan untuk monitoring dan memberikan pakan pada kucing peliharaan yang dapat diakses dari jarak jauh oleh pengguna. Pembuatan alat ini dilatar belakangi karena beberapa hal pada kegiatan pemeliharaan kucing, seperti ketidakteraturan jadwal pemberian pakan, sulitnya pengontrolan perkembangan hewan peliharaan, sulitnya pengontrolan ketersediaan pakan, sulitnya mengkalkulasi kebutuhan pakan., dan seringnya peternak melakukan aktivitas atau pekerjaan lain diluar rumah. Metode yang digunakan pada penelitian ini adalah metode Research and Development. Keunggulan atau unjuk kerja alat ini terletak pada kombinasi beberapa fungsi otomatis yang meliputi pemberian pakan dan pemberian notifikasi. Kombinasi beberapa fungsi tersebut meliputi, adanya mikrokontroler NodeMCU yang terintegrasi dengan jaringan internet, dan alat otomatisasi ini dapat memberikan pakan secara real time dengan memanfaatkan komponen RTC yang dapat mengatur waktu kapan pakan akan diberikan. Pengguna juga akan mendapatkan notifikasi langsung melalui foxpush tanpa harus membuka laman web untuk mengetahui apakah pakan sudah selesai diberikan atau belum. Setelah melakukan berbagai pengujian, hasil rata-rata persentase keberhasilan keseluruhan sistem adalah 68%",0,,
7,Emisi Karbon Sebagai Dasar Implementasi Penyediaan Ruang Terbuka Hijau Di DKI Jakarta,"Emisi adalah salah satu dari beberapa aspek lingkungan yang berbahaya yang dapat berdampak terhadap perubahan global di dunia. Bahan bakar minyak yang digunakan dalam infrastruktur transportasi dikenal sebagai hal yang paling utama yang menghasilkan intensitas emisi yang tinggi bagi kota besar seperti Jakarta .Dampak yang nyata adalah dengan tingginya jumlah penduduk yang menderita sakit dari polusi udara. Tutupan lahan atau kota hijau, termasuk apa yang disebut sebagai 'hutan kota¶ atau ruang terbuka akan memberikan harapan baru di masa depan sebagai unsur kota untuk mengurangi polusi udara dan emisi.Metoda analisis dilakukan dengan melakukan koleksi dan analisis data sekunder mengenai produksi karbon dioksida yang dihasilkan dari beberapa kegiatan perkotaan seperti penggunaan listrik dan bahan bakar di Jakarta.Transportasi dan kebutuhan tenaga listrik merupakan kebutuhan pokok masyarakat perkotaan, namun memiliki dampak yang terbesar terhadap produksi karbon dioksida diudara.Ketersediaan ruang terbuka yang luas serta kebijakan efisiensi energi harus menjadi salah satu agenda pemerintah pusat dan daerah merupakan solusi utama untuk mengatasi masalah.",2,,
8,ALAT PEMBERI PAKAN KUCING OTOMATIS BERBASIS INTERNET OF THINGS (IOT) DENGAN SISTEM KENDALI TELEGRAM,"Kucing ialah makhluk yang sering ditemui manusia kapanpun dan dimanapun mereka berada. Orang biasanya memelihara kucing dengan sengaja, dan mereka disebut sebagai kucing peliharaan, hewan peliharaan paling populer di kalangan manusia ialah kucing dan anjing. Akan tetapi saat memelihara kucing peliharaan harus membutuhkan perawatan yang tepat, terutama pada saat memberi pakannya. Namun masalahnya, pada saat pemilik berpergian dalam waktu yang lama dan tidak ada waktu luang sehingga pemilik tidak sempat memberi makan kucing peliharaannya secara teratur. Penelitian ini bertujuan membuat alat pemberi pakan kucing otomatis berbasis Microkontroller yang dikendalikan dengan aplikasi Telegram untuk memudahkan orang yang mempunyai kucing peliharaan dirumah untuk memberi makan kucing peliharaannya secara teratur. Menggunakan konsep Internet of Things (IoT) melalui sensor ultrasonik pakan kucing dapat dipantau. Alat yang dibangun diharapkan dapat membantu Memberikan kemudahan pada setiap orang untuk memberikan pakan kucing peliharaan secara otomatis, sehingga orang yang memelihara kucing peliharaan tidak perlu khawatir jika sedang berpergian dalam jangka waktu berhari-hari",0,,
9,"KLASIFIKASI JURNAL ILMU KOMPUTER BERDASARKAN PEMBAGIAN WEB OF SCIENCE DENGAN MENGGUNAKAN TEXT MINING
","Pada penelitian ini dilakukan klasifikasi jurnal-jurnal ilmiah untuk bidang ilmu komputer berbahasa Inggris
berdasarkan pada pembagian kategori penelitian berdasarkan web of science yaitu artificial intelligent ,
cybernetics, hardware and architecture, information systems, interdisciplinary applications, software
engineering, theory and method, dan image science and photography. Dari setiap kategori diambil sebanyak 50
jurnal sehingga terdapat total 400 jurnal. Sebanyak 360 jurnal menjadi data latih dan 40 jurnal sebagai data
uji. Proses untuk klasifikasi ini menggunakan tahapan text mining yang merupakan bagian dari data mining.
Teknik klasifikasi menggunakan dua metode yaitu Naïve Bayes Classifier dan Support Vector Machine. Proses
teks mining menggunakan bantuan software rapidminer 8.0.. Ukuran performansi yang digunakan yaitu recall,
precision, F-Measure dan accuracy. Metode Naïve Bayes Classifier memberikan nilai performansi yang lebih
baik dibandingkan dengan metode Support Vector Machine dengan nilai recall 64,90% , precision 69,23% , FMeasure 66,99% dan accuracy 64,42%",0,,
10,PENGEMBANGAN MEDIA PEMBELAJARAN MOBILE LEARNING BERBASIS ANDROID PADA MATA KULIAH KECERDASAN BUATAN,"Penelitian ini bertujuan untuk mengembangkan dan menghasilkan media pembelajaran mobile learning berbasis android pada mata kuliah kecerdasan buatan yang tervalidasi dan mendeskripsikan kevalidan, kepraktisan dan keefektifannya. Penelitian ini merupakan Research and Development dengan lima tahapan (ADDIE), yaitu Analisis, Desain, Pengembangan/Development, Implementasi dan Evaluasi. Model pengembangan yang digunakan adalah model pengembangan multimedia versi Luther-Sutopo yang terdiri dari enam tahap, yaitu pengonsepan, pendesainan, pengumpulan materi, pembuatan, pengujian dan pendistribusian. Hasil penelitian menunjukkan bahwa (1) uji validitas dari 2 orang ahli media menunjukkan nilai 94 dengan kategori sangat valid; (2) uji praktikalitas dari 2 orang ahli materi menunjukkan nilai 92,88 dengan kategori sangat praktis; (3) uji efektifitas dari 9 orang mahasiswa pada perkuliahan kecerdasan buatan menunjukkan nilai 93,63 dengan kategori sangat efektif. Berdasarkan hasil uji validitas, praktikalitas dan efektifitas, maka produk m-learning dinilai layak dan dapat digunakan pada pembelajaran mata kuliah kecerdasan buatan. Sehingga disarankan dosen dan mahasiswa dapat memanfaatkannya sebagai salah satu alternatif media pembelajaran. Kata Kunci: Media Pembelajaran, Mobile Learning, Android, Kecerdasan Buatan.",0,,
